VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
166,217,Imran D.,62,1,0
167,217,Deepa M.,28,2,0
168,221,Ravi M.,8,1,0
169,221,Anil T.,31,2,0
170,222,Lokesh B.,48,2,0
171,223,Naveen B.,13,2,0
172,224,Shankar R.,72,1,0
173,225,Kiran R.,9,1,0
174,231,Mallesh V.,67,1,0
175,232,Yusuf K.,23,1,0
176,232,Imran H.,42,1,0
177,233,Suresh B.,75,2,0
178,233,Ravi T.,76,2,0
179,235,Ramesh S.,59,1,0
180,236,Manju H.,16,1,0
181,239,Roopa S.,68,2,0
182,239,Basava G.,35,1,0
183,240,Basava K.,41,2,0
184,241,Girish G.,47,3,0
185,243,Nagaraj M.,74,1,0
186,244,Prakash H.,10,2,0
187,245,Imran K.,9,1,0
188,247,Nagaraj D.,56,1,0
189,248,Yusuf V.,53,2,0
190,249,Roopa T.,9,1,0
191,249,Mallesh P.,16,1,0
192,250,Prakash D.,10,1,0
193,251,Naveen R.,19,1,0
194,252,Lokesh B.,21,1,0
195,252,Kavya K.,40,1,0
196,254,Ramesh M.,76,2,0
197,255,Mallesh D.,5,2,0
198,257,Ramesh B.,50,2,0
199,261,Ramesh N.,30,1,0
200,264,Suresh N.,79,1,0
201,265,Arjun M.,51,1,0
202,268,Mallesh H.,19,1,0
203,271,Manju M.,79,2,0
204,272,Basava R.,70,1,0
205,272,Anil B.,20,1,0
206,273,Arjun D.,52,1,0
207,273,Santosh P.,18,1,0
208,274,Vinod T.,79,1,0
209,275,Arjun D.,8,2,0
210,277,Arjun D.,75,1,0
211,278,Yusuf B.,53,1,0
212,279,Vinod K.,65,1,0
213,279,Naveen G.,78,1,0
214,280,Roopa T.,16,1,0
215,281,Prakash D.,10,2,0
216,282,Kavya H.,37,1,0
217,283,Mallesh M.,45,1,0
218,285,Yusuf B.,57,2,0
219,285,Vinod M.,67,1,0
220,286,Yusuf S.,5,1,0
221,289,Shankar T.,29,1,0
222,289,Basava S.,8,1,0
223,290,Suresh B.,35,1,0
224,292,Basava S.,45,1,0
225,294,Ravi H.,78,1,0
226,295,Ravi B.,10,1,0
227,297,Girish P.,39,1,0
228,299,Kavya M.,69,1,0
229,302,Deepa R.,80,2,0
230,303,Kiran S.,30,1,0
231,305,Roopa V.,18,2,0
232,305,Suresh H.,18,1,0
233,307,Imran S.,6,1,0
234,307,Deepa M.,15,1,0
235,308,Naveen B.,6,2,0
236,309,Latha N.,32,1,0
237,310,Suresh D.,20,1,0
238,311,Deepa T.,36,1,0
239,312,Vinod V.,68,1,0
240,313,Basava M.,20,1,0
241,315,Girish B.,74,1,0
242,316,Ravi M.,73,1,0
243,318,Anil K.,30,1,0
244,318,Roopa V.,35,1,0
245,323,Imran K.,59,1,0
246,326,Mallesh M.,21,1,0
247,326,Imran K.,43,1,0
248,327,Santosh K.,63,1,0
249,328,Deepa D.,50,1,0
250,329,Naveen R.,65,1,0
251,330,Girish R.,56,1,0
252,332,Lokesh H.,53,1,0
253,333,Santosh V.,13,1,0
254,335,Imran G.,57,1,0
255,337,Kavya D.,6,1,0
256,337,Deepa S.,55,1,0
257,338,Kiran N.,6,1,0
258,339,Lokesh G.,13,1,0
259,339,Lokesh P.,18,1,0
260,345,Suresh G.,70,1,0
261,346,Vinod D.,52,1,0
262,349,Basava D.,41,2,0
263,352,Shankar V.,73,1,0
264,352,Nagaraj S.,37,1,0
265,353,Mahesh G.,67,1,0
266,353,Kavya M.,57,2,0
267,354,Santosh K.,23,1,0
268,358,Anil K.,12,1,0
269,359,Naveen M.,5,1,0
270,359,Mallesh G.,22,1,0
271,360,Ramesh V.,67,1,0
272,361,Kiran B.,53,1,0
273,362,Arjun D.,63,1,0
274,364,Deepa T.,41,1,0
275,365,Ravi B.,78,1,0
276,368,Latha S.,56,2,0
277,369,Naveen M.,10,1,0
278,370,Imran S.,78,1,0
279,371,Basava M.,75,1,0
280,372,Basava S.,45,3,0
281,373,Ramesh G.,18,2,0
282,373,Anil S.,72,1,0
283,374,Girish P.,80,1,0
284,375,Vinod G.,71,2,0
285,376,Basava D.,70,2,0
286,376,Kiran P.,68,1,0
287,377,Prakash M.,51,2,0
288,377,Deepa B.,11,1,0
289,378,Suresh P.,67,1,0
290,380,Suresh S.,30,2,0
291,384,Mahesh P.,20,2,0
292,384,Manju P.,58,1,0
293,385,Vinod R.,28,1,0
294,387,Basava V.,42,1,0
295,389,Ravi N.,25,2,0
296,394,Kiran D.,23,1,0
297,396,Arjun S.,19,1,0
298,397,Mallesh M.,79,1,0
299,399,Deepa G.,21,2,0
300,399,Girish V.,12,1,0
301,403,Deepa V.,45,1,0
302,404,Santosh M.,49,1,0
303,404,Yusuf H.,64,1,0
304,405,Naveen V.,9,3,0
305,406,Santosh N.,28,2,0
306,407,Roopa R.,14,1,0
307,408,Kiran D.,62,1,0
308,408,Kavya M.,9,1,0
309,409,Mahesh B.,74,1,0
310,412,Basava R.,76,2,0
311,412,Lokesh V.,55,2,0
312,413,Prakash B.,31,1,0
313,415,Manju M.,68,2,0
314,415,Lokesh G.,17,1,0
315,416,Arjun V.,74,1,0
316,416,Deepa T.,37,2,0
317,418,Arjun G.,62,1,0
318,418,Nagaraj N.,45,1,0
319,419,Anil S.,46,1,0
320,420,Deepa R.,18,1,0
321,422,Deepa H.,35,1,0
322,424,Imran V.,70,1,0
323,426,Deepa G.,18,1,0
324,427,Prakash R.,49,1,0
325,428,Ravi S.,38,2,0
326,431,Imran H.,27,1,0
327,431,Santosh B.,47,1,0
328,432,Shankar V.,76,1,0
329,433,Latha S.,16,1,0
330,434,Kiran D.,30,1,0
331,435,Imran G.,57,1,0
332,436,Suresh M.,12,1,0
333,440,Santosh V.,61,1,0
334,441,Ramesh K.,12,1,0
335,443,Ramesh N.,21,1,0
336,444,Naveen T.,74,1,0
337,444,Suresh B.,57,1,0
338,445,Vinod N.,80,1,0
339,446,Vinod V.,32,2,0
340,446,Naveen T.,60,2,0
341,448,Ravi P.,6,1,0
342,451,Shankar S.,80,1,0
343,452,Latha T.,20,2,0
344,453,Basava B.,15,1,0
345,455,Manju S.,70,2,0
346,457,Suresh V.,71,2,0
347,459,Ravi P.,8,1,0
348,460,Manju T.,33,1,0
349,460,Naveen S.,69,1,0
350,461,Ramesh D.,30,1,0
351,462,Yusuf V.,35,1,0
352,463,Imran B.,36,1,0
353,464,Vinod D.,45,1,0
354,465,Manju T.,47,2,0
355,466,Deepa M.,69,1,0
356,469,Naveen S.,15,1,0
357,470,Roopa G.,5,1,0
358,471,Prakash R.,61,2,0
359,473,Ravi N.,29,1,0
360,473,Anil H.,63,1,0
361,476,Girish G.,65,1,0
362,477,Imran D.,49,1,0
363,477,Lokesh V.,76,2,0
364,478,Mallesh N.,40,1,0
365,478,Kavya K.,65,3,0
366,481,Imran M.,19,2,0
367,483,Yusuf D.,26,1,0
368,486,Ramesh H.,18,1,0
369,486,Vinod V.,56,1,0
370,487,Santosh S.,30,2,0
371,488,Imran T.,36,2,0
372,489,Naveen H.,5,1,0
373,491,Suresh N.,59,1,0
374,493,Imran B.,43,1,0
375,494,Suresh M.,46,1,0
376,495,Basava M.,29,1,0
377,496,Ravi G.,21,1,0
378,498,Shankar B.,62,1,0
379,500,Latha G.,33,2,0
380,501,Roopa R.,22,1,0
381,502,Mallesh H.,61,1,0
382,503,Vinod B.,42,1,0
383,504,Kiran T.,21,1,0
384,505,Deepa B.,71,1,0
385,506,Deepa R.,30,1,0
386,508,Manju R.,66,1,0
387,513,Vinod K.,30,1,0
388,513,Mallesh N.,42,2,0
389,514,Girish T.,67,1,0
390,515,Imran R.,46,1,0
391,516,Mallesh N.,37,1,0
392,517,Kavya M.,76,2,0
393,518,Mallesh T.,60,2,0
394,519,Mallesh V.,24,1,0
395,519,Kiran R.,44,1,0
396,520,Ravi S.,61,1,0
397,521,Nagaraj V.,50,2,0
398,521,Naveen G.,29,1,0
399,522,Nagaraj H.,26,1,0
400,525,Girish D.,11,2,0
401,526,Deepa B.,48,3,0
402,527,Anil H.,42,1,0
403,528,Latha B.,74,1,0
404,529,Kiran T.,43,1,0
405,530,Manju R.,40,1,0
406,532,Ramesh H.,18,1,0
407,533,Manju K.,17,1,0
408,533,Arjun R.,79,1,0
409,536,Prakash R.,76,2,0
410,537,Girish R.,38,2,0
411,539,Ramesh H.,24,1,0
412,540,Deepa V.,56,1,0
413,541,Latha B.,18,2,0
414,544,Lokesh D.,68,1,0
415,544,Lokesh B.,17,2,0
416,545,Arjun R.,24,3,0
417,545,Naveen P.,75,2,0
418,546,Naveen H.,77,1,0
419,547,Shankar D.,12,1,0
420,547,Suresh R.,16,1,0
421,548,Anil P.,28,2,0
422,548,Mallesh B.,14,1,0
423,550,Arjun N.,6,1,0
424,553,Mahesh P.,30,2,0
425,553,Suresh G.,53,1,0
426,554,Ravi V.,26,1,0
427,555,Yusuf G.,41,1,0
428,555,Girish P.,35,1,0
429,562,Ravi N.,53,1,0
430,563,Santosh M.,45,2,0
431,563,Anil K.,21,2,0
432,564,Anil V.,20,1,0
433,565,Prakash P.,41,1,0
434,566,Kavya N.,57,1,0
435,569,Yusuf S.,56,1,0
436,569,Basava D.,27,1,0
437,570,Suresh B.,18,1,0
438,570,Naveen T.,66,1,0
439,571,Kiran B.,77,2,0
440,572,Roopa R.,36,1,0
441,573,Suresh P.,36,1,0
442,574,Shankar R.,53,1,0
443,575,Lokesh T.,63,1,0
444,577,Deepa G.,55,1,0
445,578,Kiran H.,45,1,0
446,578,Yusuf D.,55,1,0
447,580,Nagaraj R.,30,2,0
448,581,Nagaraj G.,46,1,0
449,582,Lokesh N.,8,1,0
450,583,Mahesh D.,52,1,0
451,584,Naveen B.,64,1,0
452,584,Latha D.,26,2,0
453,586,Mallesh M.,33,1,0
454,587,Lokesh K.,7,1,0
455,587,Anil R.,28,2,0
456,588,Arjun B.,49,1,0
457,588,Mallesh P.,54,2,0
458,589,Nagaraj B.,35,1,0
459,590,Latha D.,11,1,0
460,591,Suresh N.,28,1,0
461,593,Latha B.,76,1,0
462,594,Kiran B.,36,2,0
463,594,Lokesh R.,65,1,0
464,595,Vinod G.,12,2,0
465,595,Suresh B.,55,1,0
466,596,Basava M.,76,1,0
467,597,Manju T.,67,2,0
468,598,Vinod N.,59,1,0
469,601,Suresh K.,13,1,0
470,602,Mahesh S.,14,1,0
471,603,Mahesh B.,53,1,0
472,604,Manju T.,25,1,0
473,607,Mallesh M.,36,1,0
474,608,Deepa G.,26,1,0
475,609,Kavya T.,22,1,0
476,611,Kiran T.,76,1,0
477,611,Ravi H.,32,1,0
478,613,Kiran G.,75,1,0
479,614,Nagaraj B.,46,1,0
480,615,Latha R.,33,2,0
481,616,Basava S.,58,1,0
482,617,Anil M.,15,2,0
483,617,Ravi S.,74,1,0
484,620,Lokesh R.,64,1,0
485,621,Shankar T.,31,2,0
486,624,Santosh K.,68,3,0
487,626,Ravi R.,13,2,0
488,626,Vinod S.,19,2,0
489,627,Prakash S.,48,1,0
490,627,Mallesh H.,29,1,0
491,628,Imran G.,46,1,0
492,629,Arjun P.,75,3,0
493,631,Naveen B.,20,1,0
494,631,Lokesh V.,15,1,0
495,632,Vinod T.,11,1,0
496,633,Ravi P.,32,1,0
497,635,Yusuf V.,20,2,0
498,637,Vinod G.,11,1,0
499,638,Mahesh N.,33,1,0
500,640,Ravi S.,7,1,0
501,640,Mallesh H.,58,1,0
